Ano,Curso,Qtd
2010,ADMINISTRACAO,4464
2010,ADMINISTRACAO PUBLICA,286
2010,ADMINISTRACAO LEGISLATIVA,59
2010,ADMINISTRACAO - COMERCIO EXTERIOR,53
2010,ADMINISTRACAO - MARKETING,52
2010,ADMINISTRACAO - ADMINISTRACAO DE EMPRESAS,42
2010,ADMINISTRACAO - ADMINISTRACAO GERAL,16
2010,ADMINISTRACAO - GESTAO DE NEGOCIOS,14
2010,ADMINISTRACAO - RECURSOS HUMANOS,12
2010,ADMINISTRACAO DE EMPRESAS,11
2010,ADMINISTRACAO - GESTAO DE SISTEMAS DE INFORMACAO,10
2010,ADMINISTRACAO - AGRONEGOCIO,10
2010,ADMINISTRACAO - ANALISE DE SISTEMAS,8
2010,ADMINISTRACAO - FINANCAS,7
2010,ADMINISTRACAO HOSPITALAR,5
2010,ADMINISTRACAO - ADMINISTRACAO HOSPITALAR,4
2010,ADMINISTRACAO DE RECURSOS HUMANOS,4
2010,ADMINISTRACAO PUBLICA - ADMINISTRACAO PUBLICA,3
2010,ADMINISTRACAO - GESTAO DE PEQUENAS E MEDIAS EMPRESAS,3
2010,ADMINISTRACAO - GESTAO DE AGRONEGOCIOS,3
2010,ADMINISTRACAO - ADMINISTRACAO PUBLICA,3
2010,ADMINISTRACAO - ADMINISTACAO HOTELEIRA.,3
2010,ADMINISTRACAO - GESTAO AMBIENTAL,3
2010,ADMINISTRACAO - ADMINISTRACAO FINANCEIRA,3
2010,ADMINISTRACAO - GESTAO DE ORGANIZACOES,2
2010,ADMINISTRACAO - GESTAO DE MARKETING,2
2010,ADMINISTRACAO - GESTAO EMPRESARIAL,2
2010,ADMINISTRACAO EM COMERCIO EXTERIOR,2
2010,ADMINISTRACAO - GESTAO DE NEGOCIOS INTERNACIONAIS,2
2010,ADMINISTRACAO - GESTAO HOTELEIRA,2
2010,ADMINISTRACAO EM GESTAO ORGANIZACIONAL,2
2010,ADMINISTRACAO - ADMINISTRACAO DE EMPRESAS E NEGOCIOS,2
2010,ADMINISTRACAO - EMPREENDEDORISMO,1
2010,ADMINISTRACAO - ADMINISTRACAO PUBLICA E EMPRESARIAL,1
2010,ADMINISTRACAO - GESTAO FINANCEIRA,1
2010,ADMINISTRACAO - GESTAO DE COMERCIO EXTERIOR,1
2010,ADMINISTRACAO - ADMINISTRACAO EM COMERCIO EXTERIOR,1
2010,ADMINISTRACAO - GESTAO AMBIENTAL E RECURSOS NATURAIS,1
2010,"ADMINISTRACAO - PROMOCOES DE EVENTOS, LAZER E ESPORTE",1
2010,ADMINISTRACAO - INFORMATICA,1
2010,ADMINISTRACAO - GESTAO DE EMPRESAS,1
2010,ADMINISTRACAO - ADMINISTRACAO RURAL,1
2010,ADMINISTRACAO - ESTRATEGIA EMPRESARIAL,1
2010,ADMINISTRACAO - ADMINISTRACAO INTERNACIONAL,1
2010,ADMINISTRACAO - LOGISTICA,1
2010,ADMINISTRACAO - ADMINISTRACAO AMBIENTAL,1
2010,ADMINISTRACAO - GESTAO TURISTICA,1
2010,ADMINISTRACAO - ADMINISTRACAO MERCADOLOGICA,1
2010,ADMINISTRACAO HOSPITALAR E SERVICOS DE SAUDE,1
2010,ADMINISTRACAO - ANALISE E DESENVOLVIMENTO DE SISTEMAS,1
2010,ADMINISTRACAO DA PRODUCAO E OPERACOES,1
2010,ADMINISTRACAO - GESTAO DE INFORMATICA,1
2010,ADMINISTRACAO - LOGISTICA E SERVICOS,1
2010,ADMINISTRACAO - SISTEMA DE INFORMACAO,1
2010,ADMINISTRACAO - FINANCAS E CONTROLE,1
2010,ADMINISTRACAO - ADMINISTRACAO DE SISTEMA DE INFORMACAO GERENCIAL,1
2010,ADMINISTRACAO - SISTEMAS DE INFORMACOES GERENCIAIS,1
2010,ADMINISTRACAO - TRANSPORTE E LOGISTICA,1
2010,ADMINISTRACAO - GERENCIAMENTO EMPRESARIAL,1
2010,ADMINISTRACAO - GESTAO DE NEGOCIOS COM COMPETENCIA EM SOFTWARE,1
2010,ADMINISTRACAO - MARKETING INTERNACIONAL,1
2010,ADMINISTRACAO - GESTAO DA QUALIDADE,1
2010,ADMINISTRACAO - SERVICO PORTUARIO,1
2010,ADMINISTRACAO - ADMINISTRACAO DE SERVICOS PUBLICOS,1
2010,ADMINISTRACAO - ADMINISTRACAO DE NEGOCIOS,1
2010,ADMINISTRACAO - TECNOLOGIA DA INFORMACAO,1
2010,ADMINISTRACAO DE SUPERMERCADOS,1
2010,ADMINISTRACAO - NEGOCIOS INTERNACIONAIS,1
2010,ADMINISTRACAO DE EMPRESAS - COMERCIO INTERNACIONAL,1
2010,ADMINISTRACAO - SERVICOS,1
2010,ADMINISTRACAO DE EMPRESAS - EMPREENDEDORISMO,1
2010,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2010,ADMINISTRACAO COM HABILITACAO EM ADMINISTRACAO DE EMPRESAS,1
2010,ADMINISTRACAO - ADMINISTRACAO INDUSTRIAL,1
2010,ADMINISTRACAO DE NEGOCIOS INTERNACIONAIS,1
2010,ADMINISTRACAO EM AGRONEGOCIOS - AGRONEGOCIO,1
2010,ADMINISTRACAO - HOTELARIA,1
2010,ADMINISTRACAO RURAL,1
2010,ADMINISTRACAO - ADMINISTRACAO PUBLICA E PRIVADA,1
2010,ADMINISTRACAO - ANALISE DE SISTEMAS ADMINISTRATIVOS,1
2010,ADMINISTRACAO - ANALISE DE SISTEMAS GERENCIAIS,1
2010,ADMINISTRACAO - NEGOCIOS,1
2011,ADMINISTRACAO,4324
2011,ADMINISTRACAO PUBLICA,344
2011,ADMINISTRACAO LEGISLATIVA,57
2011,ADMINISTRACAO - COMERCIO EXTERIOR,36
2011,ADMINISTRACAO - MARKETING,35
2011,ADMINISTRACAO - ADMINISTRACAO DE EMPRESAS,29
2011,ADMINISTRACAO - ADMINISTRACAO GERAL,14
2011,ADMINISTRACAO DE EMPRESAS,10
2011,ADMINISTRACAO - GESTAO DE NEGOCIOS,9
2011,ADMINISTRACAO - RECURSOS HUMANOS,9
2011,ADMINISTRACAO - GESTAO DE SISTEMAS DE INFORMACAO,5
2011,ADMINISTRACAO DE RECURSOS HUMANOS,4
2011,ADMINISTRACAO HOSPITALAR,4
2011,ADMINISTRACAO - FINANCAS,3
2011,ADMINISTRACAO - AGRONEGOCIO,3
2011,ADMINISTRACAO - ADMINISTRACAO HOSPITALAR,2
2011,ADMINISTRACAO - GESTAO DE PEQUENAS E MEDIAS EMPRESAS,2
2011,ADMINISTRACAO - GESTAO DE AGRONEGOCIOS,2
2011,ADMINISTRACAO - GESTAO EMPRESARIAL,2
2011,ADMINISTRACAO EM COMERCIO EXTERIOR,2
2011,ADMINISTRACAO - ADMINISTRACAO PUBLICA,2
2011,ADMINISTRACAO EM GESTAO ORGANIZACIONAL,2
2011,ADMINISTRACAO - ANALISE DE SISTEMAS,2
2011,ADMINISTRACAO PUBLICA - ADMINISTRACAO PUBLICA,2
2011,ADMINISTRACAO - ADMINISTRACAO AMBIENTAL,1
2011,ADMINISTRACAO - GESTAO HOTELEIRA,1
2011,ADMINISTRACAO - ANALISE E DESENVOLVIMENTO DE SISTEMAS,1
2011,ADMINISTRACAO HOSPITALAR E SERVICOS DE SAUDE,1
2011,ADMINISTRACAO - ADMINISTRACAO MERCADOLOGICA,1
2011,ADMINISTRACAO - ADMINISTRACAO FINANCEIRA,1
2011,ADMINISTRACAO - GESTAO AMBIENTAL E RECURSOS NATURAIS,1
2011,"ADMINISTRACAO - PROMOCOES DE EVENTOS, LAZER E ESPORTE",1
2011,ADMINISTRACAO UNIVERSITARIA,1
2011,ADMINISTRACAO - SISTEMA DE INFORMACAO,1
2011,ADMINISTRACAO - LOGISTICA,1
2011,ADMINISTRACAO - FINANCAS E CONTROLE,1
2011,ADMINISTRACAO - ESTRATEGIA EMPRESARIAL,1
2011,ADMINISTRACAO - ADMINISTRACAO INTERNACIONAL,1
2011,ADMINISTRACAO - GESTAO TURISTICA,1
2011,ADMINISTRACAO - ADMINISTRACAO RURAL,1
2011,ADMINISTRACAO - MARKETING E NEGOCIOS,1
2011,ADMINISTRACAO DA PRODUCAO E OPERACOES,1
2011,ADMINISTRACAO - GESTAO DE NEGOCIOS INTERNACIONAIS,1
2011,ADMINISTRACAO - GESTAO DE INFORMATICA,1
2011,ADMINISTRACAO - TRANSPORTE E LOGISTICA,1
2011,ADMINISTRACAO - TECNOLOGIA DA INFORMACAO,1
2011,ADMINISTRACAO - LOGISTICA E SERVICOS,1
2011,ADMINISTRACAO - ADMINISTRACAO,1
2011,ADMINISTRACAO - ADMINISTRACAO DE EMPRESAS E NEGOCIOS,1
2011,ADMINISTRACAO - GERENCIAMENTO EMPRESARIAL,1
2011,ADMINISTRACAO - ADMINISTRACAO DE NEGOCIOS,1
2011,ADMINISTRACAO - SISTEMAS DE INFORMACOES GERENCIAIS,1
2011,ADMINISTRACAO - SERVICO PORTUARIO,1
2011,ADMINISTRACAO - ADMINISTRACAO INDUSTRIAL,1
2011,ADMINISTRACAO DE EMPRESAS - COMERCIO INTERNACIONAL,1
2011,ADMINISTRACAO - ADMINISTRACAO DE SERVICOS PUBLICOS,1
2011,ADMINISTRACAO - SERVICOS,1
2011,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2011,ADMINISTRACAO DE EMPRESAS - EMPREENDEDORISMO,1
2011,ADMINISTRACAO DE NEGOCIOS INTERNACIONAIS,1
2011,ADMINISTRACAO COM HABILITACAO EM ADMINISTRACAO DE EMPRESAS,1
2011,ADMINISTRACAO - GESTAO AMBIENTAL,1
2011,ADMINISTRACAO - ADMINISTACAO HOTELEIRA.,1
2011,ADMINISTRACAO - ANALISE DE SISTEMAS GERENCIAIS,1
2011,ADMINISTRACAO - NEGOCIOS,1
2012,ADMINISTRACAO,4832
2012,ADMINISTRACAO PUBLICA,388
2012,ADMINISTRACAO LEGISLATIVA,33
2012,ADMINISTRACAO DE EMPRESAS,11
2012,ADMINISTRACAO HOSPITALAR,4
2012,ADMINISTRACAO DE RECURSOS HUMANOS,4
2012,ADMINISTRACAO EM GESTAO ORGANIZACIONAL,2
2012,ADMINISTRACAO EM COMERCIO EXTERIOR,2
2012,ADMINISTRACAO HOSPITALAR E SERVICOS DE SAUDE,1
2012,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2012,ADMINISTRACAO RURAL E AGROINDUSTRIAL,1
2012,ADMINISTRACAO DE NEGOCIOS INTERNACIONAIS,1
2012,ADMINISTRACAO COM HABILITACAO EM ADMINISTRACAO DE EMPRESAS,1
2013,ADMINISTRACAO,4790
2013,ADMINISTRACAO PUBLICA,399
2013,ADMINISTRACAO LEGISLATIVA,23
2013,ADMINISTRACAO DE EMPRESAS,10
2013,ADMINISTRACAO DE RECURSOS HUMANOS,4
2013,ADMINISTRACAO HOSPITALAR E SERVICOS DE SAUDE,1
2013,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2013,ADMINISTRACAO RURAL E AGROINDUSTRIAL,1
2013,ADMINISTRACAO COM HABILITACAO EM ADMINISTRACAO DE EMPRESAS,1
2013,ADMINISTRACAO DE NEGOCIOS INTERNACIONAIS,1
2013,ADMINISTRACAO HOSPITALAR,1
2013,ADMINISTRACAO EM COMERCIO EXTERIOR,1
2014,ADMINISTRACAO,4675
2014,ADMINISTRACAO PUBLICA,388
2014,ADMINISTRACAO DE EMPRESAS,10
2014,ADMINISTRACAO LEGISLATIVA,7
2014,ADMINISTRACAO DE RECURSOS HUMANOS,4
2014,ADMINISTRACAO HOSPITALAR E SERVICOS DE SAUDE,1
2014,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2014,ADMINISTRACAO RURAL E AGROINDUSTRIAL,1
2014,ADMINISTRACAO COM HABILITACAO EM ADMINISTRACAO DE EMPRESAS,1
2014,ADMINISTRACAO DE NEGOCIOS INTERNACIONAIS,1
2014,ADMINISTRACAO HOSPITALAR,1
2014,ADMINISTRACAO EM COMERCIO EXTERIOR,1
2015,ADMINISTRACAO,4732
2015,ADMINISTRACAO PUBLICA,370
2015,ADMINISTRACAO DE EMPRESAS,10
2015,ADMINISTRACAO LEGISLATIVA,7
2015,ADMINISTRACAO DE RECURSOS HUMANOS,4
2015,ADMINISTRACAO UNIVERSITARIA,1
2015,ADMINISTRACAO HOSPITALAR E SERVICOS DE SAUDE,1
2015,ADMINISTRACAO PUBLICA E POLITICAS PUBLICAS,1
2015,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2015,ADMINISTRACAO PUBLICA E SOCIAL,1
2015,ADMINISTRACAO COM HABILITACAO EM ADMINISTRACAO DE EMPRESAS,1
2015,ADMINISTRACAO DE NEGOCIOS INTERNACIONAIS,1
2015,ADMINISTRACAO HOSPITALAR,1
2015,ADMINISTRACAO EM COMERCIO EXTERIOR,1
2016,ADMINISTRACAO,4983
2016,ADMINISTRACAO PUBLICA,383
2016,ADMINISTRACAO DE EMPRESAS,7
2016,ADMINISTRACAO DE RECURSOS HUMANOS,4
2016,ADMINISTRACAO LEGISLATIVA,3
2016,ADMINISTRACAO UNIVERSITARIA,1
2016,ADMINISTRACAO HOSPITALAR E SERVICOS DE SAUDE,1
2016,ADMINISTRACAO PUBLICA E POLITICAS PUBLICAS,1
2016,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2016,ADMINISTRACAO PUBLICA E SOCIAL,1
2016,ADMINISTRACAO COM HABILITACAO EM ADMINISTRACAO DE EMPRESAS,1
2016,ADMINISTRACAO DE NEGOCIOS INTERNACIONAIS,1
2016,ADMINISTRACAO HOSPITALAR,1
2016,ADMINISTRACAO EM COMERCIO EXTERIOR,1
2017,ADMINISTRACAO,5949
2017,ADMINISTRACAO PUBLICA,487
2017,ADMINISTRACAO DE EMPRESAS,6
2017,ADMINISTRACAO DE RECURSOS HUMANOS,4
2017,ADMINISTRACAO LEGISLATIVA,2
2017,ADMINISTRACAO UNIVERSITARIA,1
2017,ADMINISTRACAO HOSPITALAR E SERVICOS DE SAUDE,1
2017,ADMINISTRACAO PUBLICA E POLITICAS PUBLICAS,1
2017,ADMINISTRACAO PUBLICA E SOCIAL,1
2017,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2017,ADMINISTRACAO COM HABILITACAO EM ADMINISTRACAO DE EMPRESAS,1
2018,ADMINISTRACAO,8795
2018,ADMINISTRACAO PUBLICA,597
2018,ADMINISTRACAO DE EMPRESAS,7
2018,ADMINISTRACAO DE RECURSOS HUMANOS,4
2018,ADMINISTRACAO UNIVERSITARIA,1
2018,ADMINISTRACAO PUBLICA E POLITICAS PUBLICAS,1
2018,ADMINISTRACAO PUBLICA E SOCIAL,1
2018,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2019,ADMINISTRACAO,10921
2019,ADMINISTRACAO PUBLICA,693
2019,ADMINISTRACAO DE EMPRESAS,7
2019,ADMINISTRACAO DE RECURSOS HUMANOS,4
2019,ADMINISTRACAO PUBLICA E POLITICAS PUBLICAS,1
2019,ADMINISTRACAO PUBLICA E SOCIAL,1
2019,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2020,ADMINISTRACAO,12977
2020,ADMINISTRACAO PUBLICA,1274
2020,ADMINISTRACAO DE EMPRESAS,6
2020,ADMINISTRACAO PUBLICA E POLITICAS PUBLICAS,1
2020,ADMINISTRACAO PUBLICA E SOCIAL,1
2020,ADMINISTRACAO EM SISTEMAS E SERVICOS DE SAUDE,1
2021,ADMINISTRACAO,14745
2021,ADMINISTRACAO PUBLICA,1897
2021,ADMINISTRACAO DE EMPRESAS,5
2021,ADMINISTRACAO PUBLICA E GESTAO SOCIAL,1
2021,ADMINISTRACAO HOSPITALAR E SERVICOS DE SAUDE,1
