,NU_ANO_CENSO,CO_IES,NO_IES,SG_UF_IES,NO_MUNICIPIO_IES,QT_MAT,QT_ING,QT_CONC
3808,2024,829,UNIVERSIDADE ESTADUAL DO TOCANTINS,TO,Palmas,1491,861,470
4196,2024,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,710,155,65
4203,2024,4969,Centro Universitário Itop,TO,Palmas,144,60,36
4223,2024,5544,FACULDADE PRESIDENTE ANTÔNIO CARLOS,TO,Porto Nacional,38,13,9
4317,2024,16759,Faculdade do Bico,TO,Augustinópolis,17,3,3
4521,2024,29118,Universidade Federal do Norte do Tocantins,TO,Araguaína,164,33,25
2905,2023,829,UNIVERSIDADE ESTADUAL DO TOCANTINS,TO,Palmas,619,619,0
3316,2023,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,638,208,109
3326,2023,4969,Centro Universitário Itop,TO,Palmas,139,26,14
3627,2023,29118,Universidade Federal do Norte do Tocantins,TO,Araguaína,172,41,35
2342,2022,3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,TO,Palmas,200,5,45
2429,2022,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,692,199,75
2438,2022,4969,Centro Universitário Itop,TO,Palmas,96,17,10
1371,2021,2741,FACULDADE CATÓLICA DOM ORIONE,TO,Araguaína,12,0,12
1439,2021,3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,TO,Palmas,228,0,32
1530,2021,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,633,208,52
1539,2021,4969,FACULDADE ITOP,TO,Palmas,113,15,5
475,2020,2741,FACULDADE CATÓLICA DOM ORIONE,TO,Araguaína,21,0,9
546,2020,3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,TO,Palmas,280,1,31
634,2020,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,636,252,46
645,2020,4969,FACULDADE ITOP,TO,Palmas,150,43,8
3639,2024,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,SP,São Paulo,443,305,126
3644,2024,33,FACULDADE DE TECNOLOGIA DE SOROCABA,SP,Sorocaba,251,150,57
3645,2024,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,SP,São Paulo,7183,4386,1057
3646,2024,35,"FACULDADE DE TECNOLOGIA DE AMERICANA ""MINISTRO RALPH BIASI""",SP,Americana,551,208,110
3647,2024,36,FACULDADE DE TECNOLOGIA RUBENS LARA,SP,Santos,893,387,187
3648,2024,37,FACULDADE DE TECNOLOGIA DE JAHU,SP,Jaú,341,142,83
3658,2024,124,UNIVERSIDADE DE ARARAQUARA,SP,Araraquara,31,0,20
3659,2024,125,CENTRO UNIVERSITÁRIO DE ARARAS -,SP,Araras,179,256,26
3660,2024,135,Claretiano - Centro Universitário,SP,Batatais,238,218,67
3661,2024,137,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,SP,Bauru,100,94,7
3662,2024,138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,SP,Ribeirão Preto,12,9,6
3665,2024,146,CENTRO UNIVERSITÁRIO DE RIO PRETO,SP,São José do Rio Preto,74,48,20
3666,2024,150,UNIVERSIDADE DE SOROCABA,SP,Sorocaba,231,152,52
3668,2024,162,CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,SP,São Paulo,64,56,11
3671,2024,167,UNIVERSIDADE METODISTA DE SÃO PAULO,SP,São Bernardo do Campo,509,159,188
3672,2024,203,UNIVERSIDADE SÃO JUDAS TADEU,SP,São Paulo,2483,1781,678
3673,2024,206,Centro Universitário Católico Ítalo Brasileiro,SP,São Paulo,1055,855,132
3674,2024,207,CENTRO UNIVERSITÁRIO MOURA LACERDA,SP,Ribeirão Preto,33,4,25
3676,2024,221,UNIVERSIDADE CRUZEIRO DO SUL,SP,São Paulo,16501,11846,3114
3677,2024,224,Centro Universitário FMABC,SP,Santo André,40,7,9
3678,2024,227,UNIVERSIDADE CATÓLICA DE SANTOS,SP,Santos,623,483,6
3679,2024,242,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,SP,Santo André,7199,5831,1078
3680,2024,244,CENTRO UNIVERSITÁRIO FIEO,SP,Osasco,90,60,28
3681,2024,254,CENTRO UNIVERSITÁRIO UNI-BAN,SP,São Paulo,0,0,0
3682,2024,263,FACULDADES INTEGRADAS CAMPOS SALLES,SP,São Paulo,188,8,13
3683,2024,265,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,SP,Ourinhos,54,19,21
3685,2024,271,UNIVERSIDADE DO OESTE PAULISTA,SP,Presidente Prudente,95,57,31
3686,2024,275,UNIVERSIDADE DO VALE DO PARAÍBA,SP,São José dos Campos,32,59,0
3691,2024,316,UNIVERSIDADE NOVE DE JULHO,SP,São Paulo,14988,6482,4596
3692,2024,319,UNIVERSIDADE BRASIL,SP,São Paulo,31,58,4
