Ano,IES,Cursos,Ingresso,Matrículas,Concluintes,Sigla,Cidade,UF
2010,1,1,105,508,81,USP-RP,Ribeirão Preto,SP
2011,1,1,110,525,81,USP-RP,Ribeirão Preto,SP
2012,1,1,104,523,97,USP-RP,Ribeirão Preto,SP
2013,1,1,104,527,86,USP-RP,Ribeirão Preto,SP
2014,1,1,103,538,95,USP-RP,Ribeirão Preto,SP
2015,1,1,96,534,84,USP-RP,Ribeirão Preto,SP
2016,1,1,97,530,89,USP-RP,Ribeirão Preto,SP
2017,1,1,94,540,97,USP-RP,Ribeirão Preto,SP
2018,1,1,110,516,88,USP-RP,Ribeirão Preto,SP
2019,1,1,110,532,76,USP-RP,Ribeirão Preto,SP
2020,1,1,99,544,77,USP-RP,Ribeirão Preto,SP
2021,1,1,118,561,78,USP-RP,Ribeirão Preto,SP
2022,1,1,107,559,103,USP-RP,Ribeirão Preto,SP
2023,1,1,113,556,22,USP-RP,Ribeirão Preto,SP
2010,1,1,220,1105,237,USP-SP,São Paulo,SP
2011,1,1,217,1071,176,USP-SP,São Paulo,SP
2012,1,1,196,1036,180,USP-SP,São Paulo,SP
2013,1,2,250,1081,216,USP-SP,São Paulo,SP
2014,1,2,264,1118,242,USP-SP,São Paulo,SP
2015,1,1,191,977,133,USP-SP,São Paulo,SP
2016,1,1,193,1037,186,USP-SP,São Paulo,SP
2017,1,1,182,1027,169,USP-SP,São Paulo,SP
2018,1,1,223,998,177,USP-SP,São Paulo,SP
2019,1,1,263,1050,187,USP-SP,São Paulo,SP
2020,1,1,195,1015,156,USP-SP,São Paulo,SP
2021,1,1,207,1020,199,USP-SP,São Paulo,SP
2022,1,1,209,975,199,USP-SP,São Paulo,SP
2023,1,1,209,976,158,USP-SP,São Paulo,SP
2010,1,1,252,820,144,INSPER,São Paulo,SP
2011,1,1,310,935,150,INSPER,São Paulo,SP
2012,1,1,295,997,173,INSPER,São Paulo,SP
2013,1,1,281,1041,150,INSPER,São Paulo,SP
2014,1,1,328,1163,190,INSPER,São Paulo,SP
2015,1,1,330,1210,234,INSPER,São Paulo,SP
2016,1,1,354,1243,219,INSPER,São Paulo,SP
2017,1,1,345,1221,233,INSPER,São Paulo,SP
2018,1,1,361,1263,236,INSPER,São Paulo,SP
2019,1,1,343,1272,242,INSPER,São Paulo,SP
2020,1,1,378,1335,232,INSPER,São Paulo,SP
2021,1,1,415,1401,251,INSPER,São Paulo,SP
2022,1,1,404,1458,274,INSPER,São Paulo,SP
2023,1,1,372,1459,280,INSPER,São Paulo,SP
2020,1,1,56,56,0,LINK,São Paulo,SP
2021,1,1,194,236,0,LINK,São Paulo,SP
2022,1,1,152,372,0,LINK,São Paulo,SP
2023,1,1,195,580,0,LINK,São Paulo,SP
2010,1,2,505,1759,311,EAESP,São Paulo,SP
2011,1,2,542,1881,292,EAESP,São Paulo,SP
2012,1,2,403,1872,367,EAESP,São Paulo,SP
2013,1,1,405,1862,345,EAESP,São Paulo,SP
2014,1,1,398,1866,344,EAESP,São Paulo,SP
